time,id,value
2017/10/19 16:10,8847272,1
2017/10/19 16:11,51542,1
2017/10/19 16:12,6920341,1
2017/10/19 16:14,7599455,2
2017/10/19 16:15,3721724,1
2017/10/19 16:17,3144447,1
2017/10/19 16:18,9727562,1
2017/10/19 16:25,3119475,1
2017/10/19 16:26,1847047,2
2017/10/19 16:26,5530815,1
2017/10/19 16:29,3396704,1
2017/10/19 16:30,6778098,1
2017/10/19 16:30,2306370,1
2017/10/19 16:31,2643442,1
2017/10/19 16:37,211318,1
2017/10/19 16:40,139393,1
2017/10/19 16:42,9732790,2
2017/10/19 16:46,4832595,1
2017/10/19 16:46,5141389,1
2017/10/19 16:47,2836119,1
2017/10/19 16:48,9154507,1
2017/10/19 16:48,4042054,1
2017/10/19 16:49,7930726,1
2017/10/19 16:49,8847272,1
2017/10/19 16:49,8769684,1
2017/10/19 16:50,3452337,1
2017/10/19 16:51,2156135,3
2017/10/19 16:51,1029943,1
2017/10/19 16:54,9641494,1
2017/10/19 16:54,2978863,1
2017/10/19 16:54,7508195,1
2017/10/19 16:56,7531016,1
2017/10/19 16:57,1559589,1
2017/10/19 16:57,1766290,1
2017/10/19 17:03,8322966,1
2017/10/19 17:04,1804015,2
2017/10/19 17:05,1425981,1
2017/10/19 17:09,3170328,1
2017/10/19 17:10,6042334,1
2017/10/19 17:10,9105097,1
2017/10/19 17:10,19956,1
2017/10/19 17:12,6798845,1
2017/10/19 17:14,9179779,1
2017/10/19 17:16,4561175,1
2017/10/19 17:17,2219603,1
2017/10/19 17:17,9132782,1
2017/10/19 17:20,739980,1
2017/10/19 17:24,2418039,1
2017/10/19 17:24,6853405,2
2017/10/19 17:25,2436394,1
2017/10/19 17:27,5644435,1
2017/10/19 17:27,1994680,1
2017/10/19 17:27,4042054,1
2017/10/19 17:27,9854563,1
2017/10/19 17:29,8407760,1
2017/10/19 17:33,6752996,1
2017/10/19 17:34,9343905,1
2017/10/19 17:36,3721724,1
2017/10/19 17:37,6000051,1
2017/10/19 17:37,9018314,1
2017/10/19 17:44,6177636,1
2017/10/19 17:45,6947037,2
2017/10/19 17:50,5996881,1
2017/10/19 17:51,9952239,1
2017/10/19 17:54,9139312,1
2017/10/19 17:56,5971925,1
2017/10/19 17:56,9018314,1
2017/10/19 18:00,2284992,1
2017/10/19 18:01,8152106,2
2017/10/19 18:02,3271900,2
2017/10/19 18:04,6920341,2
2017/10/19 18:05,7335159,1
2017/10/19 18:07,6798845,1
2017/10/19 18:10,3157210,1
2017/10/19 18:14,1829139,1
2017/10/19 18:15,8341712,1
2017/10/19 18:16,3224669,1
2017/10/19 18:16,754961,1
2017/10/19 18:18,9797191,1
2017/10/19 18:19,8053981,1
2017/10/19 18:20,9154507,1
2017/10/19 18:22,2836119,1
2017/10/19 18:22,6523793,1
2017/10/19 18:24,5195429,1
2017/10/19 18:24,3666842,1
2017/10/19 18:25,6930260,1
2017/10/19 18:25,785682,1
2017/10/19 18:26,9054991,2
2017/10/19 18:28,51542,1
2017/10/19 18:29,53284,1
2017/10/19 18:32,4691950,1
2017/10/19 18:34,4586149,1
2017/10/19 18:40,9694433,1
2017/10/19 18:40,568674,1
2017/10/19 18:46,1326684,1
2017/10/19 18:48,7778673,1
2017/10/19 18:48,4679466,1
2017/10/19 18:49,9765528,1
2017/10/19 18:54,6751432,2
2017/10/19 18:57,2379928,1
2017/10/19 18:59,7692227,1
2017/10/19 19:00,7229169,1
2017/10/19 19:00,4427307,1
2017/10/19 19:02,3591382,1
2017/10/19 19:02,6934772,1
2017/10/19 19:02,3300110,1
2017/10/19 19:04,2246119,1
2017/10/19 19:11,3814596,1
2017/10/19 19:15,568674,1
2017/10/19 19:16,3825045,1
2017/10/19 19:16,167636,1
2017/10/19 19:18,9951747,2
2017/10/19 19:21,7875836,1
2017/10/19 19:23,8724582,1
2017/10/19 19:27,990404,1
2017/10/19 19:28,5347269,1
2017/10/19 19:28,1280411,1
2017/10/19 19:33,1257974,1
2017/10/19 19:37,3977698,1
2017/10/19 19:37,7046839,1
2017/10/19 19:40,1778018,1
2017/10/19 19:55,9344672,1
2017/10/19 19:55,8146173,1
2017/10/19 19:55,6068550,1
2017/10/19 19:59,796485,1
2017/10/19 19:59,8341712,1
2017/10/19 20:01,568395,1
2017/10/19 20:02,3538499,1
2017/10/19 20:02,1641067,1
2017/10/19 20:03,3694121,1
2017/10/19 20:03,7891989,1
2017/10/19 20:06,5358245,1
2017/10/19 20:06,7599455,1
2017/10/19 20:07,721367,1
2017/10/19 20:10,307731,1
2017/10/19 20:11,8069070,1
2017/10/19 20:11,1853133,1
2017/10/19 20:13,5354939,1
2017/10/19 20:14,3434081,1
2017/10/19 20:15,124333,1
2017/10/19 20:16,8241970,1
2017/10/19 20:23,6119832,2
2017/10/19 20:23,8074222,1
2017/10/19 20:24,3624103,1
2017/10/19 20:28,5270387,1
2017/10/19 20:29,6715304,1
2017/10/19 20:32,1425981,1
2017/10/19 20:33,7624406,1
2017/10/19 20:38,2921957,1
2017/10/19 20:39,5168129,1
2017/10/19 20:40,4440956,1
2017/10/19 20:40,2246119,2
2017/10/19 20:40,8158654,1
2017/10/19 20:42,8056840,1
2017/10/19 20:42,8253282,1
2017/10/19 20:42,5141389,1
2017/10/19 20:42,7323746,1
2017/10/19 20:51,179386,1
2017/10/19 20:55,4822115,1
2017/10/19 20:57,4031062,1
2017/10/19 20:58,774588,1
2017/10/19 21:01,7259506,1
2017/10/19 21:01,4834956,1
2017/10/19 21:05,3457509,1
2017/10/19 21:07,5624910,1
2017/10/19 21:14,1442059,1
2017/10/19 21:19,1641067,1
2017/10/19 21:21,864804,1
2017/10/19 21:22,7006173,1
2017/10/19 21:23,7729651,1
2017/10/19 21:24,4401532,2
